Name,Profession,Experience,Satisfaction,Waiting Time,Education,Fee,Location,To book appointments visit
Ms. Kausar,Psychologist,1 Years,Not Available,15-30 mins,"BS Psychology, Ms Clinical Psychology",Not Available,"Location: Home Visits Hospital
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 05:00 PM - 09:00 PM
Address: Main Road, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-kausar-1299185
Zainab Ghazanfar,Psychologist,1 Years,Not Available,15-30 mins,"Masters (Applied Psychology), Masters (Child and Adolescent Mental Health)",Not Available,"Location: Blue Area Clinic
Timings: Not Available
Address: 21-E Huma Plaza Fazal Ul Haq Road, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/zainab-ghazanfar-1307384
Mr. Adnan Khan,Psychologist,1 Years,Not Available,15-30 mins,Board certified Behavior Analyst (BCBA),5000,"Location: Dr. Adnan Khan Psychology Clinic
Timings: Tue-Wed-Thu-Fri : 10:00 AM - 07:00 PM 
Address: 51-C Country Club Apartments, Samblan, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/mr-adnan-khan-2718680
Ms. Shamikha Batool,Psychologist,1 Years,Not Available,15-30 mins,"BS Psychology, MS Clinical Psychology",3000,"Location: G 11, Islamabad
Timings: Sun-Mon-Tue-Wed-Thu-Fri-Sat : 05:00 PM - 09:00 PM
Address: Alghaffar Plaza 2nd Floor, G 11, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-shamikha-batool
Muhammad Omer Shehzad,Psychologist,1 Years,Not Available,15-30 mins,"B.Sc (Applied Psychology), M.Sc (Applied Psychology), MS (Clinical Psychology)",Not Available,"Location: Al Najah Psychology Clinic
Timings: Not Available
Address: Office 2 Lane 2 Block 3 Time Square Commercial Area Phase 7, Bahria Town, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/muhammad-omer-shehzad
Ms. Mehwish Zulfiqar,Psychologist,1 Years,Not Available,15-30 mins,MBBS,Not Available,"Location: Bee Well Hospital
Timings: Not Available
Address: East Wing 2nd Floor Asif Plaza AKM Fazl Ul Haq Road G 7/3, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-mehwish-zulfiqar
Ms. Sahar Saifullah,Psychologist,1 Years,Not Available,15-30 mins,"Advance Diploma in Clinical Psychology from Riphah International University Islamabad, MSc Psychology from Islamic International University Islamabad, BA Psychology from University of Peshawar",2000,"Location: Small Steps Learning Center
Timings: Sun-Mon-Tue-Wed-Thu-Fri-Sat : 05:00 PM - 09:00 PM 
Address: Office 1 Lower Ground Plaza 37 Ascon Heights, Bahria Town, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-sahar-saifullah
Ms. Sumnah Shamroze Khan,Psychologist,1 Years,Not Available,15-30 mins,"MSc, PMDCP",Not Available,"Location: Zobia Hospital (G-9)
Timings: Not Available
Address: Street 30, G 9, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-sumnah-shamroze-khan
Ms. Muneeba Khalid,Psychologist,1 Years,Not Available,15-30 mins,MSc Psychology,Not Available,"Location: Islamabad International Hospital
Timings: Mon-Tue-Wed-Thu-Fri-Sat : 11:00 AM - 04:00 PM
Address:  Main Double Road Northern Strip FECHS, E 11, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-muneeba-khalid
Dr. Armish Hussain,Psychologist,1 Years,Not Available,15-30 mins,Masters in Clinical Psychology,Not Available,"Location: Health Plus Clinics
Timings: Not Available
Address: Shop No 1-A Ground Floor 21-E Huma Plaza AKM Fazl Ul Haq Road G 6/2, Blue Area, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/dr-armish-hussain
Ms. Ambreen Abid,Psychologist,8 Years,Not Available,15-30 mins,"MSc (Psychology), PMDCP",Not Available,"Location: Al Safiya Medical and Diagnostic Centre
Timings: Not Available
Address: G-8 Markaz, G 8, Islamabad, Islamabad Capital, Pakistan",https://healthwire.pk/doctors/islamabad/psychologist/ms-ambreen-abid
